t,value
1578158215,26
1578158218,47
1578158221,58
1578158224,62
1578158227,62
1578158230,62
1578158233,62
1578158236,61
1578158239,60
1578158242,61
1578158245,62
1578158248,62
1578158251,62
1578158254,62
1578158257,62
1578158260,62
1578158263,62
1578158266,62
1578158269,62
1578158272,62
1578158275,62
1578158278,61
1578158281,61
1578158284,61
1578158287,61
1578158290,61
1578158293,61
1578158296,60
1578158299,60
1578158302,60
1578158305,60
1578158308,60
1578158311,60
1578158314,61
1578158317,61
1578158320,61
1578158323,61
1578158326,61
1578158329,61
1578158332,61
1578158335,61
1578158338,60
1578158341,60
1578158344,60
1578158347,60
1578158350,60
1578158353,60
1578158356,60
1578158359,59
1578158362,59
1578158365,59
1578158368,59
1578158371,59
1578158374,59
1578158377,58
1578158380,60
1578158383,60
1578158386,60
1578158389,60
1578158392,60
1578158395,60
1578158398,59
1578158401,59
1578158404,59
1578158407,59
1578158410,59
1578158413,59
1578158416,59
1578158419,59
1578158422,59
1578158425,59
1578158428,59
1578158431,59
1578158434,59
1578158437,59
1578158440,59
1578158443,59
1578158446,58
1578158449,58
1578158452,58
1578158455,58
1578158458,57
1578158461,58
1578158464,58
1578158467,58
1578158470,58
1578158473,59
1578158476,59
1578158479,59
1578158482,59
1578158485,59
1578158488,58
1578158491,58
1578158494,58
1578158497,57
1578158500,57
1578158503,58
1578158506,58
1578158509,58
1578158512,58
1578158515,58
1578158518,57
1578158521,58
1578158524,58
1578158527,58
1578158530,58
1578158533,58
1578158536,58
1578158539,57
1578158542,58
1578158545,58
1578158548,58
1578158551,58
1578158554,58
1578158557,57
1578158560,57
1578158563,58
1578158566,58
1578158569,58
1578158572,58
1578158575,58
1578158578,57
1578158581,58
1578158584,58
1578158587,58
1578158590,58
1578158593,58
1578158596,58
1578158599,57
1578158602,58
1578158605,58
1578158608,58
1578158611,58
1578158614,58
1578158617,57
1578158620,57
1578158623,58
1578158626,58
1578158629,58
1578158632,58
1578158635,58
1578158638,57
1578158641,58
1578158644,58
1578158647,58
1578158650,58
1578158653,58
1578158656,58
1578158659,57
1578158662,58
1578158665,58
1578158668,58
1578158671,58
1578158674,58
1578158677,57
1578158680,57
1578158683,58
1578158686,58
1578158689,58
1578158692,58
1578158695,58
1578158698,58
1578158701,58
1578158704,58
1578158707,58
1578158710,58
1578158713,58
1578158716,58
1578158719,57
1578158722,58
1578158725,58
1578158728,58
1578158731,58
1578158734,58
1578158737,57
1578158740,57
1578158743,58
1578158746,58
1578158749,58
1578158752,58
1578158755,58
1578158758,57
1578158761,58
1578158764,58
1578158767,58
1578158770,58
1578158773,58
1578158776,58
1578158779,58
1578158782,58
1578158785,58
1578158788,58
1578158791,58
1578158794,58
1578158797,57
1578158800,57
1578158803,58
1578158806,58
1578158809,58
1578158812,58
1578158815,58
1578158818,57
1578158821,58
1578158824,58
1578158827,58
1578158830,58
1578158833,58
1578158836,58
1578158839,59
1578158842,59
1578158845,59
1578158848,59
1578158851,59
1578158854,58
1578158857,57
1578158860,57
1578158863,58
1578158866,58
1578158869,58
1578158872,58
1578158875,58
1578158878,57
1578158881,58
1578158884,58
1578158887,58
1578158890,58
1578158893,58
1578158896,58
1578158899,57
1578158902,58
1578158905,58
1578158908,58
1578158911,58
1578158914,58
1578158917,57
1578158920,57
1578158923,58
1578158926,58
1578158929,59
1578158932,59
1578158935,59
1578158938,59
1578158941,59
1578158944,58
1578158947,58
1578158950,58
1578158953,58
1578158956,58
1578158959,57
1578158962,59
1578158965,59
1578158968,59
1578158971,59
1578158974,59
1578158977,58
1578158980,59
1578158983,59
1578158986,59
1578158989,59
1578158992,59
1578158995,59
1578158998,59
1578159001,59
1578159004,59
1578159007,59
1578159010,59
1578159013,59
1578159016,59
1578159019,59
1578159022,59
1578159025,59
1578159028,58
1578159031,58
1578159034,58
1578159037,57
1578159040,57
1578159043,59
1578159046,59
1578159049,59
1578159052,59
1578159055,58
1578159058,57
1578159061,58
1578159064,59
1578159067,59
1578159070,59
1578159073,59
1578159076,59
1578159079,59
1578159082,59
1578159085,58
1578159088,58
1578159091,58
1578159094,59
1578159097,59
1578159100,59
1578159103,59
1578159106,59
1578159109,59
1578159112,59
1578159115,59
1578159118,59
1578159121,59
1578159124,59
1578159127,58
1578159130,58
1578159133,58
1578159136,58
1578159139,57
1578159142,58
1578159145,58
1578159148,58
1578159151,58
1578159154,58
1578159157,57
1578159160,57
1578159163,58
1578159166,58
1578159169,58
1578159172,58
1578159175,58
1578159178,57
1578159181,58
1578159184,58
1578159187,58
1578159190,58
1578159193,58
1578159196,58
1578159199,58
1578159202,59
1578159205,59
1578159208,59
1578159211,59
1578159214,59
1578159217,59
1578159220,58
1578159223,58
1578159226,58
1578159229,58
1578159232,58
1578159235,58
1578159238,57
1578159241,58
1578159244,58
1578159247,58
1578159250,58
1578159253,58
1578159256,58
1578159259,58
1578159262,58
1578159265,58
1578159268,58
1578159271,58
1578159274,58
1578159277,57
1578159280,57
1578159283,58
1578159286,58
1578159289,58
1578159292,58
1578159295,58
1578159298,57
1578159301,58
1578159304,58
1578159307,58
1578159310,58
1578159313,58
1578159316,58
1578159319,57
1578159322,58
1578159325,58
1578159328,58
1578159331,58
1578159334,58
1578159337,57
1578159340,57
1578159343,58
1578159346,58
1578159349,58
1578159352,58
1578159355,58
1578159358,57
1578159361,58
1578159364,58
1578159367,58
1578159370,58
1578159373,58
1578159376,58
1578159379,57
1578159382,58
1578159385,58
1578159388,58
1578159391,58
1578159394,58
1578159397,57
1578159400,57
1578159403,59
1578159406,59
1578159409,59
1578159412,59
1578159415,59
1578159418,59
1578159421,59
1578159424,58
1578159427,58
1578159430,59
1578159433,59
1578159436,59
1578159439,59
1578159442,59
1578159445,59
1578159448,59
1578159451,59
1578159454,59
1578159457,59
1578159460,59
1578159463,59
1578159466,58
1578159469,58
1578159472,58
1578159475,58
1578159478,57
1578159481,58
1578159484,58
1578159487,58
1578159490,58
1578159493,58
1578159496,58
1578159499,57
1578159502,58
1578159505,58
1578159508,58
1578159511,58
1578159514,58
1578159517,57
1578159520,57
1578159523,58
1578159526,58
1578159529,58
1578159532,58
1578159535,58
1578159538,57
1578159541,58
1578159544,58
1578159547,58
1578159550,58
1578159553,58
1578159556,58
1578159559,57
1578159562,58
1578159565,58
1578159568,58
1578159571,58
1578159574,58
1578159577,57
1578159580,57
1578159583,58
1578159586,58
1578159589,58
1578159592,58
1578159595,58
1578159598,57
1578159601,58
1578159604,58
1578159607,58
1578159610,58
1578159613,58
1578159616,58
1578159619,58
1578159622,58
1578159625,58
1578159628,58
1578159631,58
1578159634,58
1578159637,58
1578159640,57
1578159643,58
1578159646,58
1578159649,58
1578159652,58
1578159655,58
1578159658,57
1578159661,58
1578159664,58
1578159667,58
1578159670,58
1578159673,58
1578159676,58
1578159679,57
1578159682,57
1578159685,57
1578159688,57
1578159691,57
1578159694,57
1578159697,57
1578159700,57
1578159703,57
1578159706,57
1578159709,57
1578159712,57
1578159715,57
1578159718,57
1578159721,57
1578159724,57
1578159727,57
1578159730,57
1578159733,57
1578159736,57
1578159739,57
1578159742,57
1578159745,57
1578159748,57
1578159751,57
1578159754,57
1578159757,57
1578159760,57
1578159763,57
1578159766,57
1578159769,57
1578159772,57
1578159775,57
1578159778,57
1578159781,57
1578159784,58
1578159787,58
1578159790,58
1578159793,58
1578159796,58
1578159799,58
1578159802,58
1578159805,58
1578159808,58
1578159811,58
1578159814,58
1578159817,58
1578159820,58
1578159823,58
1578159826,58
1578159829,58
1578159832,58
1578159835,58
1578159838,58
1578159841,58
1578159844,57
1578159847,57
1578159850,57
1578159853,57
1578159856,57
1578159859,57
1578159862,57
1578159865,57
1578159868,57
1578159871,57
1578159874,57
1578159877,57
1578159880,57
1578159883,57
1578159886,57
1578159889,57
1578159892,57
1578159895,57
1578159898,57
1578159901,57
1578159904,57
1578159907,57
1578159910,57
1578159913,57
1578159916,57
1578159919,57
1578159922,57
1578159925,57
1578159928,57
1578159931,57
1578159934,57
1578159937,57
1578159940,57
1578159943,57
1578159946,57
1578159949,57
1578159952,57
1578159955,57
1578159958,57
1578159961,57
1578159964,57
1578159967,57
1578159970,57
1578159973,57
1578159976,57
1578159979,57
1578159982,57
1578159985,57
1578159988,57
