t,value
1578158215,30
1578158218,51
1578158221,62
1578158224,66
1578158227,66
1578158230,66
1578158233,66
1578158236,65
1578158239,64
1578158242,65
1578158245,66
1578158248,66
1578158251,66
1578158254,66
1578158257,66
1578158260,66
1578158263,66
1578158266,66
1578158269,66
1578158272,66
1578158275,66
1578158278,65
1578158281,65
1578158284,65
1578158287,65
1578158290,65
1578158293,65
1578158296,64
1578158299,64
1578158302,64
1578158305,64
1578158308,64
1578158311,64
1578158314,65
1578158317,65
1578158320,65
1578158323,65
1578158326,65
1578158329,65
1578158332,65
1578158335,65
1578158338,64
1578158341,64
1578158344,64
1578158347,64
1578158350,64
1578158353,64
1578158356,64
1578158359,63
1578158362,63
1578158365,63
1578158368,63
1578158371,63
1578158374,63
1578158377,62
1578158380,64
1578158383,64
1578158386,64
1578158389,64
1578158392,64
1578158395,64
1578158398,63
1578158401,63
1578158404,63
1578158407,63
1578158410,63
1578158413,63
1578158416,63
1578158419,63
1578158422,63
1578158425,63
1578158428,63
1578158431,63
1578158434,63
1578158437,63
1578158440,63
1578158443,63
1578158446,62
1578158449,62
1578158452,62
1578158455,62
1578158458,61
1578158461,62
1578158464,62
1578158467,62
1578158470,62
1578158473,63
1578158476,63
1578158479,63
1578158482,63
1578158485,63
1578158488,62
1578158491,62
1578158494,62
1578158497,61
1578158500,61
1578158503,62
1578158506,62
1578158509,62
1578158512,62
1578158515,62
1578158518,61
1578158521,62
1578158524,62
1578158527,62
1578158530,62
1578158533,62
1578158536,62
1578158539,61
1578158542,62
1578158545,62
1578158548,62
1578158551,62
1578158554,62
1578158557,61
1578158560,61
1578158563,62
1578158566,62
1578158569,62
1578158572,62
1578158575,62
1578158578,61
1578158581,62
1578158584,62
1578158587,62
1578158590,62
1578158593,62
1578158596,62
1578158599,61
1578158602,62
1578158605,62
1578158608,62
1578158611,62
1578158614,62
1578158617,61
1578158620,61
1578158623,62
1578158626,62
1578158629,62
1578158632,62
1578158635,62
1578158638,61
1578158641,62
1578158644,62
1578158647,62
1578158650,62
1578158653,62
1578158656,62
1578158659,61
1578158662,62
1578158665,62
1578158668,62
1578158671,62
1578158674,62
1578158677,61
1578158680,61
1578158683,62
1578158686,62
1578158689,62
1578158692,62
1578158695,62
1578158698,62
1578158701,62
1578158704,62
1578158707,62
1578158710,62
1578158713,62
1578158716,62
1578158719,61
1578158722,62
1578158725,62
1578158728,62
1578158731,62
1578158734,62
1578158737,61
1578158740,61
1578158743,62
1578158746,62
1578158749,62
1578158752,62
1578158755,62
1578158758,61
1578158761,62
1578158764,62
1578158767,62
1578158770,62
1578158773,62
1578158776,62
1578158779,62
1578158782,62
1578158785,62
1578158788,62
1578158791,62
1578158794,62
1578158797,61
1578158800,61
1578158803,62
1578158806,62
1578158809,62
1578158812,62
1578158815,63
1578158818,61
1578158821,62
1578158824,62
1578158827,62
1578158830,62
1578158833,62
1578158836,62
1578158839,63
1578158842,63
1578158845,63
1578158848,63
